,SYMBOL,LDCP,OPEN,HIGH,LOW,CLOSE,CHANGE,CHANGE (%)_x,VOLUME,MARKET CAP.,PRICE,CHANGE (%)_y,1-YEAR CH. (%) *,PE RATIO (TTM),DIVIDEND YIELD (%),FREE FLOAT,30D VOLUME AVG.
631,UNITY-APR,29.02,28.70,29.25,28.35,28.50,-0.52,-1.79%,"741,000",,,,,,,,
632,UNITY-MAR,28.73,28.60,29.00,27.70,28.21,-0.52,-1.81%,"803,000",,,,,,,,
633,UPFL,"23,000.00","23,200.00","23,330.00","23,000.00","23,001.11",1.11,0.00%,325,146.5B,"23,001.11",0.01%,6.49%,21.01,8.84,311.0K,57
634,UVIC,10.30,10.77,10.77,9.46,9.71,-0.59,-5.73%,"29,638",485.5M,9.71,-5.73%,67.41%,0.00,0.00,5.0M,"104,807"
635,WAFI,195.24,197.90,197.90,191.00,191.73,-3.51,-1.80%,"49,224",41.0B,191.73,-1.80%,25.14%,12.44,2.35,32.1M,"55,848"
636,WAFI-APR,199.10,194.60,197.99,193.00,196.99,-2.11,-1.06%,"26,500",,,,,,,,
637,WAFI-MAR,195.50,190.00,193.00,190.00,193.00,-2.50,-1.28%,"14,500",,,,,,,,
638,WAHN,223.27,220.21,225.00,220.00,222.78,-0.49,-0.22%,"3,187",2.0B,222.78,-0.22%,23.77%,4.35,3.37,3.2M,"1,692"
639,WAVES,8.00,8.08,8.08,7.75,7.94,-0.06,-0.75%,"1,236,925",2.2B,7.94,-0.75%,9.82%,8.02,0.00,182.9M,"810,193"
640,WAVES-APR,8.08,8.08,8.38,7.86,8.00,-0.08,-0.99%,"4,208,500",,,,,,,,
641,WAVES-MAR,8.01,8.00,8.39,7.35,7.92,-0.09,-1.12%,"4,922,000",,,,,,,,
642,WAVESAPP,10.91,10.95,10.95,10.70,10.82,-0.09,-0.82%,"369,967",2.9B,10.82,-0.83%,64.44%,24.04,0.00,120.5M,"921,315"
643,WAVESAPP-APR,11.08,11.09,11.90,10.86,11.81,0.73,6.59%,"97,000",,,,,,,,
644,WAVESAPP-MAR,11.70,11.44,11.75,10.75,11.56,-0.14,-1.20%,"88,500",,,,,,,,
645,WTL,1.34,1.33,1.35,1.31,1.32,-0.02,-1.49%,"16,227,931",6.6B,1.32,-1.49%,2.33%,0.00,0.00,4.2B,"18,943,649"
646,WTL-APR,1.35,1.34,1.35,1.33,1.34,-0.01,-0.74%,"13,844,500",,,,,,,,
647,WTL-MAR,1.34,1.31,1.33,1.31,1.32,-0.02,-1.49%,"18,263,000",,,,,,,,
648,YOUW,3.81,3.87,3.87,3.75,3.79,-0.02,-0.52%,"217,410",515.4M,3.79,-0.52%,13.13%,0.00,0.00,74.8M,"912,356"
649,YOUW-MAR,3.81,3.78,3.78,3.71,3.73,-0.08,-2.10%,"3,000",,,,,,,,
650,ZAHID,26.10,27.98,27.98,27.98,26.10,0.00,0.00%,53,5.0B,26.10,0.00%,-3.97%,5.63,0.00,5.9M,663
651,ZAL,15.42,15.90,15.90,15.21,15.26,-0.16,-1.04%,"406,918",4.0B,15.26,-1.04%,-1.04%,0.52,0.00,65.6M,"476,928"
652,ZIL,211.25,211.24,213.79,211.24,212.25,1.00,0.47%,146,1.3B,212.25,0.47%,-22.25%,30.28,0.97,306.1K,"1,135"
653,ZTL,11.40,12.54,12.54,11.75,12.00,0.60,5.26%,"19,038",713.1M,12.00,5.26%,-0.83%,0.00,0.00,8.9M,923
